2026-04-26 00:20:18.296 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,295 - freqtrade.configuration.config_validation - INFO - Val'
2026-04-26 00:20:18.299 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,299 - freqtrade.commands.optimize_commands - INFO - Starting'
2026-04-26 00:20:18.301 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,300 - freqtrade.exchange.exchange - INFO - Instance is runni'
2026-04-26 00:20:18.303 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,300 - freqtrade.exchange.exchange - INFO - Using CCXT 4.5.50'
2026-04-26 00:20:18.303 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,301 - freqtrade.exchange.exchange - INFO - Applying addition'
2026-04-26 00:20:18.310 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,310 - freqtrade.exchange.exchange - INFO - Applying addition'
2026-04-26 00:20:18.320 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,320 - freqtrade.exchange.exchange - INFO - Using Exchange "B'
2026-04-26 00:20:19.450 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,449 - freqtrade.resolvers.exchange_resolver - INFO - Using r'
2026-04-26 00:20:19.460 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,459 - freqtrade.resolvers.iresolver - INFO - Using resolved '
2026-04-26 00:20:19.461 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,460 - freqtrade.strategy.hyper - INFO - Loading parameters f'
2026-04-26 00:20:19.462 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,461 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.462 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,462 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.463 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,462 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.464 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,463 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.464 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,464 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.465 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,464 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.465 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '0.2878156355986399}\n'
2026-04-26 00:20:19.466 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,465 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.466 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,466 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.467 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,466 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
